"pais","ano","pop","continente","expVida","pibPercap"
"Argentina",1952,17876956,"Americas",62.485,5911.315053
"Argentina",1957,19610538,"Americas",64.399,6856.856212
"Argentina",1962,21283783,"Americas",65.142,7133.166023
"Argentina",1967,22934225,"Americas",65.634,8052.953021
"Argentina",1972,24779799,"Americas",67.065,9443.038526
"Argentina",1977,26983828,"Americas",68.481,10079.02674
"Argentina",1982,29341374,"Americas",69.942,8997.897412
"Argentina",1987,31620918,"Americas",70.774,9139.671389
"Argentina",1992,33958947,"Americas",71.868,9308.41871
"Argentina",1997,36203463,"Americas",73.275,10967.28195
"Argentina",2002,38331121,"Americas",74.34,8797.640716
"Argentina",2007,40301927,"Americas",75.32,12779.37964
"Bolivia",1952,2883315,"Americas",40.414,2677.326347
"Bolivia",1957,3211738,"Americas",41.89,2127.686326
"Bolivia",1962,3593918,"Americas",43.428,2180.972546
"Bolivia",1967,4040665,"Americas",45.032,2586.886053
"Bolivia",1972,4565872,"Americas",46.714,2980.331339
"Bolivia",1977,5079716,"Americas",50.023,3548.097832
"Bolivia",1982,5642224,"Americas",53.859,3156.510452
"Bolivia",1987,6156369,"Americas",57.251,2753.69149
"Bolivia",1992,6893451,"Americas",59.957,2961.699694
"Bolivia",1997,7693188,"Americas",62.05,3326.143191
"Bolivia",2002,8445134,"Americas",63.883,3413.26269
"Bolivia",2007,9119152,"Americas",65.554,3822.137084
"Brazil",1952,56602560,"Americas",50.917,2108.944355
"Brazil",1957,65551171,"Americas",53.285,2487.365989
"Brazil",1962,76039390,"Americas",55.665,3336.585802
"Brazil",1967,88049823,"Americas",57.632,3429.864357
"Brazil",1972,100840058,"Americas",59.504,4985.711467
"Brazil",1977,114313951,"Americas",61.489,6660.118654
"Brazil",1982,128962939,"Americas",63.336,7030.835878
"Brazil",1987,142938076,"Americas",65.205,7807.095818
"Brazil",1992,155975974,"Americas",67.057,6950.283021
"Brazil",1997,168546719,"Americas",69.388,7957.980824
"Brazil",2002,179914212,"Americas",71.006,8131.212843
"Brazil",2007,190010647,"Americas",72.39,9065.800825
"Canada",1952,14785584,"Americas",68.75,11367.16112
"Canada",1957,17010154,"Americas",69.96,12489.95006
"Canada",1962,18985849,"Americas",71.3,13462.48555
"Canada",1967,20819767,"Americas",72.13,16076.58803
"Canada",1972,22284500,"Americas",72.88,18970.57086
"Canada",1977,23796400,"Americas",74.21,22090.88306
"Canada",1982,25201900,"Americas",75.76,22898.79214
"Canada",1987,26549700,"Americas",76.86,26626.51503
"Canada",1992,28523502,"Americas",77.95,26342.88426
"Canada",1997,30305843,"Americas",78.61,28954.92589
"Canada",2002,31902268,"Americas",79.77,33328.96507
"Canada",2007,33390141,"Americas",80.653,36319.23501
"Chile",1952,6377619,"Americas",54.745,3939.978789
"Chile",1957,7048426,"Americas",56.074,4315.622723
"Chile",1962,7961258,"Americas",57.924,4519.094331
"Chile",1967,8858908,"Americas",60.523,5106.654313
"Chile",1972,9717524,"Americas",63.441,5494.024437
"Chile",1977,10599793,"Americas",67.052,4756.763836
"Chile",1982,11487112,"Americas",70.565,5095.665738
"Chile",1987,12463354,"Americas",72.492,5547.063754
"Chile",1992,13572994,"Americas",74.126,7596.125964
"Chile",1997,14599929,"Americas",75.816,10118.05318
"Chile",2002,15497046,"Americas",77.86,10778.78385
"Chile",2007,16284741,"Americas",78.553,13171.63885
"Colombia",1952,12350771,"Americas",50.643,2144.115096
"Colombia",1957,14485993,"Americas",55.118,2323.805581
"Colombia",1962,17009885,"Americas",57.863,2492.351109
"Colombia",1967,19764027,"Americas",59.963,2678.729839
"Colombia",1972,22542890,"Americas",61.623,3264.660041
"Colombia",1977,25094412,"Americas",63.837,3815.80787
"Colombia",1982,27764644,"Americas",66.653,4397.575659
"Colombia",1987,30964245,"Americas",67.768,4903.2191
"Colombia",1992,34202721,"Americas",68.421,5444.648617
"Colombia",1997,37657830,"Americas",70.313,6117.361746
"Colombia",2002,41008227,"Americas",71.682,5755.259962
"Colombia",2007,44227550,"Americas",72.889,7006.580419
"Costa Rica",1952,926317,"Americas",57.206,2627.009471
"Costa Rica",1957,1112300,"Americas",60.026,2990.010802
"Costa Rica",1962,1345187,"Americas",62.842,3460.937025
"Costa Rica",1967,1588717,"Americas",65.424,4161.727834
"Costa Rica",1972,1834796,"Americas",67.849,5118.146939
"Costa Rica",1977,2108457,"Americas",70.75,5926.876967
"Costa Rica",1982,2424367,"Americas",73.45,5262.734751
"Costa Rica",1987,2799811,"Americas",74.752,5629.915318
"Costa Rica",1992,3173216,"Americas",75.713,6160.416317
"Costa Rica",1997,3518107,"Americas",77.26,6677.045314
"Costa Rica",2002,3834934,"Americas",78.123,7723.447195
"Costa Rica",2007,4133884,"Americas",78.782,9645.06142
"Cuba",1952,6007797,"Americas",59.421,5586.53878
"Cuba",1957,6640752,"Americas",62.325,6092.174359
